Date,action,close,proba,signal,net_ret
2006-10-10,BUY,18.042556762695312,0.7100467055294777,1,0.0
2007-10-11,SELL,22.37697029113769,0.4767174921673895,0,0.007844694609426918
2008-10-15,BUY,14.788657188415527,0.645983090013318,1,-0.0012
2009-10-15,SELL,19.520971298217773,0.5101161423357967,0,0.02028116306163761
2010-10-19,BUY,21.851293563842773,0.5652746881905941,1,-0.0012
2011-10-18,SELL,21.35909652709961,0.417609521639858,0,-0.0005001197624484798
2012-10-24,BUY,21.65488624572754,0.65939574612538,1,-0.0012
2013-10-29,SELL,26.89642906188965,0.4685822446339887,0,0.0026566130146007186
2014-10-29,BUY,32.20709228515625,0.5874006794564564,1,-0.0012
2015-10-29,SELL,37.01950454711914,0.44548542692997517,0,0.004979678064092143
2016-10-28,BUY,44.8912467956543,0.5704215880341276,1,-0.0012
2017-10-30,SELL,57.76529312133789,0.2943645633460212,0,0.0006354515046627996
2018-11-01,BUY,64.7822036743164,0.6699463251757132,1,-0.0012
2019-11-04,SELL,79.10385131835938,0.4172418617057853,0,-0.006506891072455966
2020-11-20,BUY,92.47279357910156,0.786047649520695,1,-0.0012
2021-11-22,SELL,130.23069763183594,0.22738471279442984,0,0.0026106891948965774
2022-12-06,BUY,131.98512268066406,0.6011076710478844,1,-0.0012
2023-12-12,SELL,161.55653381347656,0.43138818662313305,0,0.015606093209962958
2024-12-12,BUY,207.95664978027344,0.5589132315993951,1,-0.0012
