Date,action,close,proba,signal,net_ret
2007-10-17,BUY,38.47444915771485,0.6036182148563691,1,-0.0012
2008-10-16,SELL,19.982669830322266,0.21182268027887735,0,0.06241740662982052
2009-10-16,BUY,25.37287139892578,0.6150255032827888,1,-0.0012
2010-10-18,SELL,32.496826171875,0.43591495800213803,0,0.00977003350181125
2011-10-25,BUY,35.95026016235352,0.593778024093317,1,-0.0012
2012-10-25,SELL,44.698612213134766,0.5259249898117974,0,0.005519151644171362
2013-10-30,BUY,64.56452178955078,0.6710705308005,1,-0.0012
2014-10-30,SELL,72.5728988647461,0.42909383229216275,0,0.0044812156718917265
2015-11-03,BUY,80.29021453857422,0.5520484054818542,1,-0.0012
2016-11-02,SELL,86.32503509521484,0.5041912882738867,0,-0.007521804759554461
2017-11-03,BUY,117.8495864868164,0.6708474943000013,1,-0.0012
2018-11-05,SELL,127.34056854248048,0.3732041256800842,0,0.010485173252201864
2019-11-07,BUY,158.702880859375,0.5883285491103255,1,-0.0012
2020-11-06,SELL,166.61915588378906,0.45531951965050926,0,0.004201677174403652
2021-11-24,BUY,196.07669067382807,0.5993989434389533,1,-0.0012
2022-12-02,SELL,206.611572265625,0.48513760033050773,0,0.006574014434605903
2023-12-05,BUY,189.8423614501953,0.6981257552175067,1,-0.0012
2025-01-02,SELL,222.0233612060547,0.4563889649030362,0,-0.002838009561425235
